source_code_str,trans_code,AlignTrans_alignment,TransMap_alignment
"def ANDequalOR( n: int, arr: List[int]) -> int:
    ans = 0
    pre = 0
    count = 0
    for i in range(n):
        if arr[i] == arr[pre]:
            count += 1
        else:
            ans += (count * (count + 1)) // 2
            pre = i
            count = 1
    ans += (count * (count + 1)) // 2
    return ans","    public static int ANDequalOR(int n, int[] arr) {
        int ans = 0;
        int pre = 0;
        int count = 0;
        for (int i = 0; i < n; i++) {
            if (arr[i] == arr[pre]) {
                count += 1;
            } else {
                ans += (count * (count + 1)) / 2;
                pre = i;
                count = 1;
            }
        }
        ans += (count * (count + 1)) / 2;
        return ans;
    }","BLOCK0: 
```python
def ANDequalOR( n: int, arr: List[int]) -> int:
```
Corresponding Java Code:
```java
public static int ANDequalOR(int n, int[] arr) {
```
BLOCK1: 
```python
ans = 0
pre = 0
count = 0
```
Corresponding Java Code:
```java
int ans = 0;
int pre = 0;
int count = 0;
```
BLOCK2: 
```python
for i in range(n):
```
Corresponding Java Code:
```java
for (int i = 0; i < n; i++) {
```
BLOCK3: 
```python
if arr[i] == arr[pre]:
```
Corresponding Java Code:
```java
if (arr[i] == arr[pre]) {
```
BLOCK4: 
```python
count += 1
```
Corresponding Java Code:
```java
count += 1;
```
BLOCK5: 
```python
else:
    ans += (count * (count + 1)) // 2
    pre = i
    count = 1
```
Corresponding Java Code:
```java
} else {
    ans += (count * (count + 1)) / 2;
    pre = i;
    count = 1;
}
```
BLOCK6: 
```python
ans += (count * (count + 1)) // 2
return ans
```
Corresponding Java Code:
```java
ans += (count * (count + 1)) / 2;
return ans;
```
","```java
public static int ANDequalOR(int n, int[] arr) { // --- py stmt 1
    int ans = 0; // --- py stmt 2
    int pre = 0; // --- py stmt 3
    int count = 0; // --- py stmt 4
    for (int i = 0; i < n; i++) { // --- py stmt 5
        if (arr[i] == arr[pre]) { // --- py stmt 6
            count += 1; // --- py stmt 7
        } else { // --- py stmt 8
            ans += (count * (count + 1)) / 2; // --- py stmt 9
            pre = i; // --- py stmt 10
            count = 1; // --- py stmt 11
        }
    }
    ans += (count * (count + 1)) / 2; // --- py stmt 12
    return ans; // --- py stmt 13
}
```
"
"def findGoodPairs( a, n, k):
    mp=dict()
    for i in range(n):
        if (a[i] in mp):
            mp[a[i]].append(i)
        else:
            mp[a[i]]=[i]
    c=0
    for i in mp:
        li=mp[i]
        le=len(li)
        i=0
        j=0
        while(j<le):
            if (li[j]-li[i])>=k:
                c+=(le-j)
                i+=1
            else:
                j+=1
    return c","    static int findGoodPairs(int[] a, int n, int k) {
        Map<Integer, List<Integer>> mp = new HashMap<>();
        for (int i = 0; i < n; i++) {
            if (mp.containsKey(a[i])) {
                mp.get(a[i]).add(i);
            } else {
                List<Integer> tempList = new ArrayList<>();
                tempList.add(i);
                mp.put(a[i], tempList);
            }
        }
        int c = 0;
        for (int i : mp.keySet()) {
            List<Integer> li = mp.get(i);
            int le = li.size();
            int i_ = 0;
            int j_ = 0;
            while (j_ < le) {
                if ((li.get(j_) - li.get(i_)) >= k) {
                    c += (le - j_);
                    i_ += 1;
                } else {
                    j_ += 1;
                }
            }
        }
        return c;
    }","BLOCK0: 
```python
def findGoodPairs( a, n, k):
```
Corresponding Java Code:
```java
static int findGoodPairs(int[] a, int n, int k) {
```
BLOCK1: 
```python
mp=dict()
```
Corresponding Java Code:
```java
Map<Integer, List<Integer>> mp = new HashMap<>();
```
BLOCK2: 
```python
for i in range(n):
```
Corresponding Java Code:
```java
for (int i = 0; i < n; i++) {
```
BLOCK3: 
```python
if (a[i] in mp):
```
Corresponding Java Code:
```java
if (mp.containsKey(a[i])) {
```
BLOCK4: 
```python
mp[a[i]].append(i)
```
Corresponding Java Code:
```java
mp.get(a[i]).add(i);
```
BLOCK5: 
```python
else:
    mp[a[i]]=[i]
```
Corresponding Java Code:
```java
else {
    List<Integer> tempList = new ArrayList<>();
    tempList.add(i);
    mp.put(a[i], tempList);
}
```
BLOCK6: 
```python
c=0
```
Corresponding Java Code:
```java
int c = 0;
```
BLOCK7: 
```python
for i in mp:
```
Corresponding Java Code:
```java
for (int i : mp.keySet()) {
```
BLOCK8: 
```python
li=mp[i]
le=len(li)
i=0
j=0
```
Corresponding Java Code:
```java
List<Integer> li = mp.get(i);
int le = li.size();
int i_ = 0;
int j_ = 0;
```
BLOCK9: 
```python
while(j<le):
```
Corresponding Java Code:
```java
while (j_ < le) {
```
BLOCK10: 
```python
if (li[j]-li[i])>=k:
```
Corresponding Java Code:
```java
if ((li.get(j_) - li.get(i_)) >= k) {
```
BLOCK11: 
```python
c+=(le-j)
i+=1
```
Corresponding Java Code:
```java
c += (le - j_);
i_ += 1;
```
BLOCK12: 
```python
else:
    j+=1
```
Corresponding Java Code:
```java
} else {
    j_ += 1;
}
```
BLOCK13: 
```python
return c
```
Corresponding Java Code:
```java
return c;
```
","```java
public static int findGoodPairs(int[] a, int n, int k) { // --- py stmt 1
    Map<Integer, List<Integer>> mp = new HashMap<>(); // --- py stmt 2
    for (int i = 0; i < n; i++) { // --- py stmt 3
        if (mp.containsKey(a[i])) { // --- py stmt 4
            mp.get(a[i]).add(i); // --- py stmt 5
        } else { // --- py stmt 6
            List<Integer> tempList = new ArrayList<>(); // --- py stmt 7
            tempList.add(i);
            mp.put(a[i], tempList);
        }
    }
    int c = 0; // --- py stmt 8
    for (int i : mp.keySet()) { // --- py stmt 9
        List<Integer> li = mp.get(i); // --- py stmt 10
        int le = li.size(); // --- py stmt 11
        int i_ = 0; // --- py stmt 12
        int j_ = 0; // --- py stmt 13
        while (j_ < le) { // --- py stmt 14
            if ((li.get(j_) - li.get(i_)) >= k) { // --- py stmt 15
                c += (le - j_); // --- py stmt 16
                i_ += 1; // --- py stmt 17
            } else { // --- py stmt 18
                j_ += 1; // --- py stmt 19
            }
        }
    }
    return c; // --- py stmt 20
}
```
"
"def Towerheight( n: int, k: int, arr: List[int]) -> int:
    
    st = []
    total_height = 0
    i = 0
    
    for j in range(n):
        total_height += arr[j]
        st.append(arr[j])
        
        if total_height > k:
            
            remove_boxes = i + 1
            while remove_boxes > 0 and st:
                total_height -= st.pop()
                remove_boxes -= 1
            i += 1
    
    return total_height","    public static int Towerheight(int n, int k, int[] arr) {

        Stack<Integer> st = new Stack<>();
        int total_height = 0;
        int i = 0;

        for (int j = 0; j < n; j++) {
            total_height += arr[j];
            st.push(arr[j]);

            if (total_height > k) {

                int remove_boxes = i + 1;
                while (remove_boxes > 0 && !st.isEmpty()) {
                    total_height -= st.pop();
                    remove_boxes -= 1;
                }
                i += 1;
            }
        }

        return total_height;
    }","BLOCK0: 
```python
def Towerheight( n: int, k: int, arr: List[int]) -> int:
```
Corresponding Java Code:
```java
public static int Towerheight(int n, int k, int[] arr) {
```
BLOCK1: 
```python
st = []
total_height = 0
i = 0
```
Corresponding Java Code:
```java
Stack<Integer> st = new Stack<>();
int total_height = 0;
int i = 0;
```
BLOCK2: 
```python
for j in range(n):
```
Corresponding Java Code:
```java
for (int j = 0; j < n; j++) {
```
BLOCK3: 
```python
total_height += arr[j]
st.append(arr[j])
```
Corresponding Java Code:
```java
total_height += arr[j];
st.push(arr[j]);
```
BLOCK4: 
```python
if total_height > k:
```
Corresponding Java Code:
```java
if (total_height > k) {
```
BLOCK5: 
```python
remove_boxes = i + 1
```
Corresponding Java Code:
```java
int remove_boxes = i + 1;
```
BLOCK6: 
```python
while remove_boxes > 0 and st:
```
Corresponding Java Code:
```java
while (remove_boxes > 0 && !st.isEmpty()) {
```
BLOCK7: 
```python
total_height -= st.pop()
remove_boxes -= 1
```
Corresponding Java Code:
```java
total_height -= st.pop();
remove_boxes -= 1;
```
BLOCK8: 
```python
i += 1
```
Corresponding Java Code:
```java
i += 1;
```
BLOCK9: 
```python
return total_height
```
Corresponding Java Code:
```java
return total_height;
```
","```java
public static int Towerheight(int n, int k, int[] arr) { // --- py stmt 1
    Stack<Integer> st = new Stack<>(); // --- py stmt 2
    int total_height = 0; // --- py stmt 3
    int i = 0; // --- py stmt 4
    for (int j = 0; j < n; j++) { // --- py stmt 5
        total_height += arr[j]; // --- py stmt 6
        st.push(arr[j]); // --- py stmt 7
        if (total_height > k) { // --- py stmt 8
            int remove_boxes = i + 1; // --- py stmt 9
            while (remove_boxes > 0 && !st.isEmpty()) { // --- py stmt 10
                total_height -= st.pop(); // --- py stmt 11
                remove_boxes -= 1; // --- py stmt 12
            }
            i += 1; // --- py stmt 13
        }
    }
    return total_height; // --- py stmt 14
}
```
"
"def timeTravel( n, arr):
    ans=0
    for i in range(1,n):
        if (arr[i]>arr[i-1]):
            ans+=1
        elif (arr[i]<arr[i-1]):
            ans+=2
    return ans","static int timeTravel(int n, int[] arr) {
    int ans = 0;
    for (int i = 1; i < n; i++) {
        if (arr[i] > arr[i - 1]) {
            ans += 1;
        } else if (arr[i] < arr[i - 1]) {
            ans += 2;
        }
    }
    return ans;
}","BLOCK0: 
```python
def timeTravel( n, arr):
```
Corresponding Java Code:
```java
static int timeTravel(int n, int[] arr) {
```
BLOCK1: 
```python
ans=0
```
Corresponding Java Code:
```java
int ans = 0;
```
BLOCK2: 
```python
for i in range(1,n):
```
Corresponding Java Code:
```java
for (int i = 1; i < n; i++) {
```
BLOCK3: 
```python
if (arr[i]>arr[i-1]):
```
Corresponding Java Code:
```java
if (arr[i] > arr[i - 1]) {
```
BLOCK4: 
```python
ans+=1
```
Corresponding Java Code:
```java
ans += 1;
```
BLOCK5: 
```python
elif (arr[i]<arr[i-1]):
```
Corresponding Java Code:
```java
} else if (arr[i] < arr[i - 1]) {
```
BLOCK6: 
```python
ans+=2
```
Corresponding Java Code:
```java
ans += 2;
```
BLOCK7: 
```python
return ans
```
Corresponding Java Code:
```java
return ans;
```
","```java
public static int timeTravel(int n, int[] arr) { // --- py stmt 1
    int ans = 0; // --- py stmt 2
    for (int i = 1; i < n; i++) { // --- py stmt 3
        if (arr[i] > arr[i - 1]) { // --- py stmt 4
            ans += 1; // --- py stmt 5
        } else if (arr[i] < arr[i - 1]) { // --- py stmt 6
            ans += 2; // --- py stmt 7
        }
    }
    return ans; // --- py stmt 8
}
```
"
"def lastFairyStanding( n : int, k : int) -> int:
    ans = 0
    for x in range(2, n+1): 
        ans = (ans + k) % x
    return ans + 1","static int lastFairyStanding(int n, int k) {
    int ans = 0;
    for (int x = 2; x <= n; x++) {
        ans = (ans + k) % x;
    }
    return ans + 1;
}","BLOCK0: 
```python
def lastFairyStanding( n : int, k : int) -> int:
```
Corresponding Java Code:
```java
static int lastFairyStanding(int n, int k) {
```
BLOCK1: 
```python
ans = 0
```
Corresponding Java Code:
```java
int ans = 0;
```
BLOCK2: 
```python
for x in range(2, n+1):
```
Corresponding Java Code:
```java
for (int x = 2; x <= n; x++) {
```
BLOCK3: 
```python
ans = (ans + k) % x
```
Corresponding Java Code:
```java
ans = (ans + k) % x;
```
BLOCK4: 
```python
return ans + 1
```
Corresponding Java Code:
```java
return ans + 1;
```
","```java
public static int lastFairyStanding(int n, int k) { // --- py stmt 1
    int ans = 0; // --- py stmt 2
    for (int x = 2; x <= n; x++) { // --- py stmt 3
        ans = (ans + k) % x; // --- py stmt 4
    }
    return ans + 1; // --- py stmt 5
}
```
"
"def equality( A, B):
    if A > B:
        return 0
    if A == B:
        return 1
    if B % 2 == 0:
        return 1
    return 0","static int equality(int A, int B) {
    if (A > B) {
        return 0;
    }
    if (A == B) {
        return 1;
    }
    if (B % 2 == 0) {
        return 1;
    }
    return 0;
}","BLOCK0: 
```python
def equality( A, B):
```
Corresponding Java Code:
```java
static int equality(int A, int B) {
```
BLOCK1: 
```python
if A > B:
```
Corresponding Java Code:
```java
if (A > B) {
```
BLOCK2: 
```python
return 0
```
Corresponding Java Code:
```java
return 0;
```
BLOCK3: 
```python
if A == B:
```
Corresponding Java Code:
```java
if (A == B) {
```
BLOCK4: 
```python
return 1
```
Corresponding Java Code:
```java
return 1;
```
BLOCK5: 
```python
if B % 2 == 0:
```
Corresponding Java Code:
```java
if (B % 2 == 0) {
```
BLOCK6: 
```python
return 1
```
Corresponding Java Code:
```java
return 1;
```
BLOCK7: 
```python
return 0
```
Corresponding Java Code:
```java
return 0;
```
","```java
public static int equality(int A, int B) { // --- py stmt 1
    if (A > B) { // --- py stmt 2
        return 0; // --- py stmt 3
    }
    if (A == B) { // --- py stmt 4
        return 1; // --- py stmt 5
    }
    if (B % 2 == 0) { // --- py stmt 6
        return 1; // --- py stmt 7
    }
    return 0; // --- py stmt 8
}
```
"
"def ForYou( n : int, arr : List[int], m : int, order : List[List[int]]) -> int:
    diff = [0] * (n + 1)
    for it in order:
        diff[it[0] - 1] += 1
        diff[it[1]] -= 1
    for i in range(1, n):
        diff[i] += diff[i - 1]
    diff.pop()
    diff.sort()
    arr.sort()
    ans = 0
    mod = int(1e9) + 7
    for i in range(n):
        ans += diff[i] * arr[i]
        ans %= mod
    return ans","    public static int ForYou(int n, int[] arr, int m, int[][] order) {
        int[] diff = new int[n + 1];
        for (int[] it : order) {
            diff[it[0] - 1] += 1;
            diff[it[1]] -= 1;
        }
        for (int i = 1; i < n; i++) {
            diff[i] += diff[i - 1];
        }
        Arrays.sort(diff, 0, n);
        Arrays.sort(arr);
        int ans = 0;
        int mod = (int)Math.pow(10, 9) + 7;
        for (int i = 0; i < n; i++) {
            ans += diff[i] * arr[i];
            ans %= mod;
        }
        return ans;
    }","BLOCK0: 
```python
def ForYou( n : int, arr : List[int], m : int, order : List[List[int]]) -> int:
```
Corresponding Java Code:
```java
public static int ForYou(int n, int[] arr, int m, int[][] order) {
```
BLOCK1: 
```python
diff = [0] * (n + 1)
```
Corresponding Java Code:
```java
int[] diff = new int[n + 1];
```
BLOCK2: 
```python
for it in order:
```
Corresponding Java Code:
```java
for (int[] it : order) {
```
BLOCK3: 
```python
diff[it[0] - 1] += 1
diff[it[1]] -= 1
```
Corresponding Java Code:
```java
diff[it[0] - 1] += 1;
diff[it[1]] -= 1;
```
BLOCK4: 
```python
for i in range(1, n):
```
Corresponding Java Code:
```java
for (int i = 1; i < n; i++) {
```
BLOCK5: 
```python
diff[i] += diff[i - 1]
```
Corresponding Java Code:
```java
diff[i] += diff[i - 1];
```
BLOCK6: 
```python
diff.pop()
diff.sort()
arr.sort()
ans = 0
mod = int(1e9) + 7
```
Corresponding Java Code:
```java
Arrays.sort(diff, 0, n);
Arrays.sort(arr);
int ans = 0;
int mod = (int)Math.pow(10, 9) + 7;
```
BLOCK7: 
```python
for i in range(n):
```
Corresponding Java Code:
```java
for (int i = 0; i < n; i++) {
```
BLOCK8: 
```python
ans += diff[i] * arr[i]
ans %= mod
```
Corresponding Java Code:
```java
ans += diff[i] * arr[i];
ans %= mod;
```
BLOCK9: 
```python
return ans
```
Corresponding Java Code:
```java
return ans;
```
","```java
public static int ForYou(int n, int[] arr, int m, int[][] order) { // --- py stmt 1
    int[] diff = new int[n + 1]; // --- py stmt 2
    for (int[] it : order) { // --- py stmt 3
        diff[it[0] - 1] += 1; // --- py stmt 4
        diff[it[1]] -= 1; // --- py stmt 5
    }
    for (int i = 1; i < n; i++) { // --- py stmt 6
        diff[i] += diff[i - 1]; // --- py stmt 7
    }
    Arrays.sort(diff, 0, n); // --- py stmt 8
    Arrays.sort(arr); // --- py stmt 9
    int ans = 0; // --- py stmt 10
    int mod = (int)Math.pow(10, 9) + 7; // --- py stmt 11
    for (int i = 0; i < n; i++) { // --- py stmt 12
        ans += diff[i] * arr[i]; // --- py stmt 13
        ans %= mod; // --- py stmt 14
    }
    return ans; // --- py stmt 15
}
```
"
"def maxSumII( n, arr, brr):
    ans = [0] * n
    ma = 0
    brr.reverse()
    v = [0] * n
    vp = [0,0] * n
    fans = []
    for i in brr:
        fans.append(ma)
        b = i - 1
        temp = arr[b]
        left = b
        right = b
        if b - 1 >= 0 and v[b - 1] != 0:
            temp += ans[b - 1]
            left = min(left, vp[b - 1][0])
        if b + 1 < n and v[b + 1] != 0:
            temp += ans[b + 1]
            right = max(right, vp[b + 1][1])
        v[b] = arr[b]
        ans[left] = temp
        ans[right] = temp
        vp[left] = (left, right)
        vp[right] = (left, right)
        ma = max(temp, ma)
    fans.reverse()
    return fans","    public static List<Integer> maxSumII(int n, int[] arr, int[] brr) {
        int[] ans = new int[n];
        int ma = 0;
        int[] brrRev = new int[n];
        int[] v = new int[n];
        int[][] vp = new int[n][2];
        List<Integer> fans = new ArrayList<>();
        for (int i = 0; i < n; i++) {
            brrRev[i] = brr[n - i - 1];
        }
        for (int i : brrRev) {
            fans.add(ma);
            int b = i - 1;
            int temp = arr[b];
            int left = b;
            int right = b;
            if (b - 1 >= 0 && v[b - 1] != 0) {
                temp += ans[b - 1];
                left = Math.min(left, vp[b - 1][0]);
            }
            if (b + 1 < n && v[b + 1] != 0) {
                temp += ans[b + 1];
                right = Math.max(right, vp[b + 1][1]);
            }
            v[b] = arr[b];
            ans[left] = temp;
            ans[right] = temp;
            vp[left][0] = left;
            vp[left][1] = right;
            vp[right][0] = left;
            vp[right][1] = right;
            ma = Math.max(temp, ma);
        }
        Collections.reverse(fans);
        return fans;
    }","BLOCK0: 
```python
def maxSumII( n, arr, brr):
```
Corresponding Java Code:
```java
public static List<Integer> maxSumII(int n, int[] arr, int[] brr) {
```
BLOCK1: 
```python
ans = [0] * n
ma = 0
brr.reverse()
v = [0] * n
vp = [0,0] * n
fans = []
```
Corresponding Java Code:
```java
int[] ans = new int[n];
int ma = 0;
int[] brrRev = new int[n];
int[] v = new int[n];
int[][] vp = new int[n][2];
List<Integer> fans = new ArrayList<>();
for (int i = 0; i < n; i++) {
    brrRev[i] = brr[n - i - 1];
}
```
BLOCK2: 
```python
for i in brr:
```
Corresponding Java Code:
```java
for (int i : brrRev) {
```
BLOCK3: 
```python
fans.append(ma)
b = i - 1
```
Corresponding Java Code:
```java
fans.add(ma);
int b = i - 1;
```
BLOCK4: 
```python
if b - 1 >= 0 and v[b - 1] != 0:
```
Corresponding Java Code:
```java
if (b - 1 >= 0 && v[b - 1] != 0) {
```
BLOCK5: 
```python
temp += ans[b - 1]
left = min(left, vp[b - 1][0])
```
Corresponding Java Code:
```java
temp += ans[b - 1];
left = Math.min(left, vp[b - 1][0]);
```
BLOCK6: 
```python
if b + 1 < n and v[b + 1] != 0:
```
Corresponding Java Code:
```java
if (b + 1 < n && v[b + 1] != 0) {
```
BLOCK7: 
```python
temp += ans[b + 1]
right = max(right, vp[b + 1][1])
```
Corresponding Java Code:
```java
temp += ans[b + 1];
right = Math.max(right, vp[b + 1][1]);
```
BLOCK8: 
```python
v[b] = arr[b]
```
Corresponding Java Code:
```java
v[b] = arr[b];
```
BLOCK9: 
```python
ans[left] = temp
ans[right] = temp
vp[left] = (left, right)
vp[right] = (left, right)
ma = max(temp, ma)
```
Corresponding Java Code:
```java
ans[left] = temp;
ans[right] = temp;
vp[left][0] = left;
vp[left][1] = right;
vp[right][0] = left;
vp[right][1] = right;
ma = Math.max(temp, ma);
```
BLOCK10: 
```python
fans.reverse()
return fans
```
Corresponding Java Code:
```java
Collections.reverse(fans);
return fans;
```
","```java
public static List<Integer> maxSumII(int n, int[] arr, int[] brr) { // --- py stmt 1
    int[] ans = new int[n]; // --- py stmt 2
    int ma = 0; // --- py stmt 3
    int[] brrRev = new int[n]; // --- py stmt 4
    int[] v = new int[n]; // --- py stmt 5
    int[][] vp = new int[n][2]; // --- py stmt 6
    List<Integer> fans = new ArrayList<>(); // --- py stmt 7
    for (int i = 0; i < n; i++) { // --- py stmt 8
        brrRev[i] = brr[n - i - 1]; // --- py stmt 9
    }
    for (int i : brrRev) { // --- py stmt 10
        fans.add(ma); // --- py stmt 11
        int b = i - 1; // --- py stmt 12
        int temp = arr[b]; // --- py stmt 13
        int left = b; // --- py stmt 14
        int right = b; // --- py stmt 15
        if (b - 1 >= 0 && v[b - 1] != 0) { // --- py stmt 16
            temp += ans[b - 1]; // --- py stmt 17
            left = Math.min(left, vp[b - 1][0]); // --- py stmt 18
        }
        if (b + 1 < n && v[b + 1] != 0) { // --- py stmt 19
            temp += ans[b + 1]; // --- py stmt 20
            right = Math.max(right, vp[b + 1][1]); // --- py stmt 21
        }
        v[b] = arr[b]; // --- py stmt 22
        ans[left] = temp; // --- py stmt 23
        ans[right] = temp; // --- py stmt 24
        vp[left][0] = left; // --- py stmt 25
        vp[left][1] = right; // --- py stmt 26
        vp[right][0] = left; // --- py stmt 27
        vp[right][1] = right; // --- py stmt 28
        ma = Math.max(temp, ma); // --- py stmt 29
    }
    Collections.reverse(fans); // --- py stmt 30
    return fans; // --- py stmt 31
}
```
"
"def smallestString( n : int, s : str) -> str:
    
    if n == 1:
        return ""-1""
    answer = list(s)
    
    for i in range(n // 2):
        
        if s[i] != 'a':
            answer[i] = 'a'
            return ''.join(answer)
    
    answer[-1] = 'b'
    return ''.join(answer)","    static String smallestString(int n, String s) {
        if (n == 1) {
            return ""-1"";
        }
        char[] answer = s.toCharArray();

        for (int i = 0; i < n / 2; i++) {
            if (s.charAt(i) != 'a') {
                answer[i] = 'a';
                return new String(answer);
            }
        }

        answer[n - 1] = 'b';
        return new String(answer);
    }","BLOCK0: 
```python
def smallestString(n : int, s : str) -> str:
```
Corresponding Java Code:
```java
static String smallestString(int n, String s) {
```
BLOCK1: 
```python
if n == 1:
```
Corresponding Java Code:
```java
if (n == 1) {
```
BLOCK2: 
```python
return ""-1""
```
Corresponding Java Code:
```java
return ""-1"";
```
BLOCK3: 
```python
answer = list(s)
```
Corresponding Java Code:
```java
char[] answer = s.toCharArray();
```
BLOCK4: 
```python
for i in range(n // 2):
```
Corresponding Java Code:
```java
for (int i = 0; i < n / 2; i++) {
```
BLOCK5: 
```python
if s[i] != 'a':
```
Corresponding Java Code:
```java
if (s.charAt(i) != 'a') {
```
BLOCK6: 
```python
answer[i] = 'a'
return ''.join(answer)
```
Corresponding Java Code:
```java
answer[i] = 'a';
return new String(answer);
```
BLOCK7: 
```python
answer[-1] = 'b'
return ''.join(answer)
```
Corresponding Java Code:
```java
answer[n - 1] = 'b';
return new String(answer);
```
","```java
public static String smallestString(int n, String s) { // --- py stmt 1
    if (n == 1) { // --- py stmt 2
        return ""-1""; // --- py stmt 3
    }
    char[] answer = s.toCharArray(); // --- py stmt 4
    for (int i = 0; i < n / 2; i++) { // --- py stmt 5
        if (s.charAt(i) != 'a') { // --- py stmt 6
            answer[i] = 'a'; // --- py stmt 7
            return new String(answer); // --- py stmt 8
        }
    }
    answer[n - 1] = 'b'; // --- py stmt 9
    return new String(answer); // --- py stmt 10
}
```
"
"def doesExists( S: str) -> str:
    hsh = [0] * 26
    for c in S:
        hsh[ord(c) - ord('a')] += 1
    curr = [i for i in hsh if i != 0]
    if len(curr) == 1:
        return ""NO""
    return ""YES""","    static String doesExists(String S) {
        int[] hsh = new int[26];
        for (int i = 0; i < S.length(); i++) {
            hsh[S.charAt(i) - 'a'] += 1;
        }
        List<Integer> curr = new ArrayList<>();
        for (int i = 0; i < 26; i++) {
            if (hsh[i] != 0) {
                curr.add(hsh[i]);
            }
        }
        if (curr.size() == 1) {
            return ""NO"";
        }
        return ""YES"";
    }","BLOCK0: 
```python
def doesExists( S: str) -> str:
```
Corresponding Java Code:
```java
static String doesExists(String S) {
```
BLOCK1: 
```python
hsh = [0] * 26
```
Corresponding Java Code:
```java
int[] hsh = new int[26];
```
BLOCK2: 
```python
for c in S:
```
Corresponding Java Code:
```java
for (int i = 0; i < S.length(); i++) {
```
BLOCK3: 
```python
hsh[ord(c) - ord('a')] += 1
```
Corresponding Java Code:
```java
hsh[S.charAt(i) - 'a'] += 1;
```
BLOCK4: 
```python
curr = [i for i in hsh if i != 0]
```
Corresponding Java Code:
```java
List<Integer> curr = new ArrayList<>();
for (int i = 0; i < 26; i++) {
    if (hsh[i] != 0) {
        curr.add(hsh[i]);
    }
}
```
BLOCK5: 
```python
if len(curr) == 1:
```
Corresponding Java Code:
```java
if (curr.size() == 1) {
```
BLOCK6: 
```python
return ""NO""
```
Corresponding Java Code:
```java
return ""NO"";
```
BLOCK7: 
```python
return ""YES""
```
Corresponding Java Code:
```java
return ""YES"";
```
","```java
public static String doesExists(String S) { // --- py stmt 1
    int[] hsh = new int[26]; // --- py stmt 2
    for (int i = 0; i < S.length(); i++) { // --- py stmt 3
        hsh[S.charAt(i) - 'a'] += 1; // --- py stmt 4
    }
    List<Integer> curr = new ArrayList<>(); // --- py stmt 5
    for (int i = 0; i < 26; i++) {
        if (hsh[i] != 0) {
            curr.add(hsh[i]);
        }
    }
    if (curr.size() == 1) { // --- py stmt 6
        return ""NO""; // --- py stmt 7
    }
    return ""YES""; // --- py stmt 8
}
```
"
